candidate_id,trading_session,trades,net_pnl,stress_pnl
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_all_touches_mt2,2026-02-23,1,14.26,13.26
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_all_touches_mt2,2026-02-26,1,-27.24,-28.24
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_all_touches_mt2,2026-03-05,1,266.76,265.76
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_all_touches_mt2,2026-03-12,1,-105.74,-106.74
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_all_touches_mt2,2026-03-18,1,-64.24,-65.24
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_all_touches_mt2,2026-03-20,1,-71.74,-72.74
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_all_touches_mt2,2026-03-24,1,-15.74,-16.74
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_all_touches_mt2,2026-03-26,1,103.26,102.26
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_all_touches_mt2,2026-03-27,1,-217.24,-218.24
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_all_touches_mt2,2026-04-07,1,41.76,40.76
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_all_touches_mt2,2026-04-27,1,-12.24,-13.24
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_all_touches_mt2,2026-05-12,1,305.26,304.26
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_all_touches_mt2,2026-05-19,1,-119.24,-120.24
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_all_touches_mt2,2026-06-05,1,392.76,391.76
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_all_touches_mt2,2026-06-16,1,403.76,402.76
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_all_touches_mt2,2026-07-01,1,-24.24,-25.24
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_all_touches_mt2,2026-07-02,1,-35.74,-36.74
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt1,2025-08-01,1,-72.24,-73.24
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt1,2025-08-15,1,179.76,178.76
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt1,2025-08-18,1,-10.24,-11.24
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt1,2025-08-19,1,8.76,7.76
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt1,2025-08-20,1,-281.37,-282.37
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt1,2025-08-21,1,-9.74,-10.74
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt1,2025-08-29,1,25.76,24.76
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt1,2025-09-02,1,-12.24,-13.24
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt1,2025-09-17,1,14.26,13.26
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt1,2025-10-09,1,-130.12,-131.12
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt1,2025-10-22,1,-213.87,-214.87
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt1,2025-10-30,1,48.26,47.26
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt1,2025-11-04,1,-40.24,-41.24
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt1,2025-11-06,1,131.76,130.76
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt1,2025-11-07,1,134.26,133.26
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt1,2025-11-11,1,-71.74,-72.74
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt1,2025-11-13,1,233.26,232.26
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt1,2025-11-17,1,-4.74,-5.74
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt1,2025-11-18,1,-217.24,-218.24
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt1,2025-11-25,1,-10.74,-11.74
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt1,2025-12-10,1,-62.24,-63.24
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt1,2025-12-12,1,392.26,391.26
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt1,2026-01-08,1,-75.24,-76.24
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt1,2026-01-13,1,-30.24,-31.24
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt1,2026-01-14,1,85.76,84.76
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt1,2026-01-29,1,-170.74,-171.74
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt1,2026-02-04,1,462.76,461.76
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt1,2026-02-05,1,-63.74,-64.74
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt1,2026-02-16,1,-138.74,-139.74
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt1,2026-02-17,1,-15.24,-16.24
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt1,2026-02-19,1,-34.74,-35.74
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt1,2026-02-23,1,14.26,13.26
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt1,2026-02-26,1,-27.24,-28.24
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt1,2026-03-05,1,266.76,265.76
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt1,2026-03-12,1,-105.74,-106.74
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt1,2026-03-18,1,-64.24,-65.24
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt1,2026-03-20,1,-71.74,-72.74
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt1,2026-03-24,1,-15.74,-16.74
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt1,2026-03-26,1,103.26,102.26
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt1,2026-03-27,1,-217.24,-218.24
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt1,2026-04-07,1,41.76,40.76
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt1,2026-04-27,1,-12.24,-13.24
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt1,2026-05-12,1,305.26,304.26
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt1,2026-05-19,1,-119.24,-120.24
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt1,2026-06-05,1,392.76,391.76
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt1,2026-06-16,1,403.76,402.76
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt1,2026-07-01,1,-24.24,-25.24
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt1,2026-07-02,1,-35.74,-36.74
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt2,2025-08-01,1,-72.24,-73.24
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt2,2025-08-15,1,179.76,178.76
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt2,2025-08-18,1,-10.24,-11.24
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt2,2025-08-19,1,8.76,7.76
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt2,2025-08-20,1,-281.37,-282.37
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt2,2025-08-21,1,-9.74,-10.74
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt2,2025-08-29,1,25.76,24.76
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt2,2025-09-02,1,-12.24,-13.24
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt2,2025-09-17,1,14.26,13.26
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt2,2025-10-09,1,-130.12,-131.12
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt2,2025-10-22,1,-213.87,-214.87
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt2,2025-10-30,1,48.26,47.26
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt2,2025-11-04,1,-40.24,-41.24
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt2,2025-11-06,1,131.76,130.76
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt2,2025-11-07,1,134.26,133.26
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt2,2025-11-11,1,-71.74,-72.74
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt2,2025-11-13,1,233.26,232.26
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt2,2025-11-17,1,-4.74,-5.74
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt2,2025-11-18,1,-217.24,-218.24
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt2,2025-11-25,1,-10.74,-11.74
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt2,2025-12-10,1,-62.24,-63.24
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt2,2025-12-12,1,392.26,391.26
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt2,2026-01-08,1,-75.24,-76.24
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt2,2026-01-13,1,-30.24,-31.24
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt2,2026-01-14,1,85.76,84.76
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt2,2026-01-29,1,-170.74,-171.74
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt2,2026-02-04,1,462.76,461.76
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt2,2026-02-05,1,-63.74,-64.74
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt2,2026-02-16,1,-138.74,-139.74
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt2,2026-02-17,1,-15.24,-16.24
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt2,2026-02-19,1,-34.74,-35.74
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt2,2026-02-23,1,14.26,13.26
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt2,2026-02-26,1,-27.24,-28.24
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt2,2026-03-05,1,266.76,265.76
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt2,2026-03-12,1,-105.74,-106.74
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt2,2026-03-18,1,-64.24,-65.24
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt2,2026-03-20,1,-71.74,-72.74
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt2,2026-03-24,1,-15.74,-16.74
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt2,2026-03-26,1,103.26,102.26
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt2,2026-03-27,1,-217.24,-218.24
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt2,2026-04-07,1,41.76,40.76
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt2,2026-04-27,1,-12.24,-13.24
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt2,2026-05-12,1,305.26,304.26
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt2,2026-05-19,1,-119.24,-120.24
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt2,2026-06-05,1,392.76,391.76
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt2,2026-06-16,1,403.76,402.76
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt2,2026-07-01,1,-24.24,-25.24
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_first_touch_only_mt2,2026-07-02,1,-35.74,-36.74
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2025-07-31,1,77.76,76.76
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2025-08-01,1,-72.24,-73.24
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2025-08-18,1,-10.24,-11.24
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2025-08-20,1,-281.37,-282.37
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2025-08-21,1,-9.74,-10.74
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2025-08-29,1,25.76,24.76
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2025-09-02,1,-12.24,-13.24
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2025-09-05,1,-109.24,-110.24
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2025-09-26,1,-8.74,-9.74
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2025-10-07,1,-28.24,-29.24
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2025-10-15,1,-77.74,-78.74
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2025-10-16,1,-152.24,-153.24
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2025-10-30,1,48.26,47.26
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2025-10-31,1,-17.24,-18.24
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2025-11-04,1,-40.24,-41.24
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2025-11-06,1,131.76,130.76
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2025-11-07,1,134.26,133.26
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2025-11-11,1,-71.74,-72.74
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2025-11-12,1,92.76,91.76
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2025-11-13,1,233.26,232.26
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2025-11-17,1,-4.74,-5.74
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2025-11-18,1,-217.24,-218.24
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2025-11-20,1,905.76,904.76
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2025-11-25,1,-10.74,-11.74
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2025-12-12,1,392.26,391.26
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2025-12-15,1,-5.24,-6.24
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2025-12-17,1,197.26,196.26
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2026-01-02,1,65.26,64.26
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2026-01-08,1,-75.24,-76.24
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2026-01-13,1,-30.24,-31.24
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2026-01-14,1,85.76,84.76
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2026-01-16,1,-166.24,-167.24
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2026-01-29,1,-170.74,-171.74
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2026-02-03,1,37.26,36.26
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2026-02-04,1,462.76,461.76
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2026-02-05,1,-63.74,-64.74
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2026-02-12,1,418.76,417.76
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2026-02-16,1,-138.74,-139.74
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2026-02-17,1,-15.24,-16.24
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2026-02-19,1,-34.74,-35.74
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2026-02-23,1,14.26,13.26
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2026-02-26,1,-27.24,-28.24
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2026-03-05,1,266.76,265.76
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2026-03-12,1,-105.74,-106.74
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2026-03-13,1,-5.74,-6.74
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2026-03-18,1,-64.24,-65.24
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2026-03-20,1,-71.74,-72.74
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2026-03-24,1,-15.74,-16.74
MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2026-03-26,1,103.26,102.26
